,sensor [Auto],,,,,
,Oxygen,Pressure,Temperature,Humidity,ppO2,
04/23/23 10:59:16.530,"30360","101","19.7","43.5","35.1",
04/23/23 10:59:18.549,"30360","101","19.7","43.5","35.1",
04/23/23 10:59:20.528,"30250","101","19.7","43.6","35.1",
04/23/23 10:59:22.527,"30250","101","19.7","43.5","35.1",
04/23/23 10:59:24.536,"30250","101","19.7","43.5","35.1",
04/23/23 10:59:26.535,"30360","101","19.7","43.5","35.1",
04/23/23 10:59:28.534,"30250","101","19.7","43.5","35.1",
04/23/23 10:59:30.533,"30250","101","19.7","43.5","35.1",
04/23/23 10:59:32.532,"30250","101","19.7","43.5","35.1",
04/23/23 10:59:34.531,"30360","101","19.7","43.5","35.1",
04/23/23 10:59:36.530,"30360","101","19.7","43.6","35.1",
04/23/23 10:59:38.529,"30360","101","19.7","43.5","35.1",
04/23/23 10:59:40.528,"30360","101","19.7","43.5","35.1",
04/23/23 10:59:42.537,"30360","101","19.7","43.5","35.1",
04/23/23 10:59:44.536,"30360","101","19.7","43.5","35.1",
04/23/23 10:59:46.535,"30360","101","19.7","43.5","35.1",
04/23/23 10:59:48.534,"30360","101","19.7","43.5","35.1",
04/23/23 10:59:50.533,"30250","101","19.7","43.5","35.1",
04/23/23 10:59:52.532,"30360","101","19.7","43.5","35.1",
04/23/23 10:59:54.530,"30360","101","19.7","43.5","35.1",
04/23/23 10:59:56.529,"30360","101","19.7","43.5","35.1",
04/23/23 10:59:58.618,"30250","101","19.7","43.5","35.1",
04/23/23 11:00:00.627,"30250","101","19.7","43.6","35.1",
04/23/23 11:00:02.666,"30250","101","19.7","43.5","35.1",
04/23/23 11:00:04.685,"30360","101","19.7","43.5","35.1",
04/23/23 11:00:06.684,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:08.663,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:10.692,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:12.761,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:14.740,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:16.799,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:18.808,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:20.807,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:22.896,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:24.864,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:26.933,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:28.972,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:30.911,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:32.940,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:34.909,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:36.948,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:38.947,"30360","101","19.7","43.6","35.2",
04/23/23 11:00:40.936,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:43.015,"30360","101","19.7","43.6","35.1",
