XY
	CURVE1 (new-5mmolar-14btmapaq-CV-co2-100mvps.DTA)[BKS]		CURVE2 (new-5mmolar-14btmapaq-CV-co2-100mvps.DTA)[BKS]
-5.923e-001	-3.087e-005		
-5.883e-001	-2.892e-005		
-5.843e-001	-2.666e-005		
-5.803e-001	-2.538e-005		
-5.763e-001	-2.280e-005		
-5.723e-001	-2.132e-005		
-5.680e-001	-1.891e-005		
-5.640e-001	-1.671e-005		
-5.601e-001	-1.551e-005		
-5.561e-001	-1.310e-005		
-5.521e-001	-1.193e-005		
-5.481e-001	-1.024e-005		
-5.442e-001	-8.410e-006		
-5.401e-001	-7.689e-006		
-5.362e-001	-5.790e-006		
-5.322e-001	-5.139e-006		
-5.282e-001	-4.030e-006		
-5.242e-001	-2.758e-006		
-5.203e-001	-2.596e-006		
-5.162e-001	-1.222e-006		
-5.123e-001	-1.114e-006		
-5.083e-001	-4.743e-007		
-5.043e-001	3.173e-007		
-5.003e-001	5.660e-008		
-4.963e-001	1.041e-006		
-4.923e-001	8.014e-007		
-4.883e-001	1.130e-006		
-4.843e-001	1.606e-006		
-4.803e-001	1.070e-006		
-4.763e-001	1.813e-006		
-4.723e-001	1.393e-006		
-4.683e-001	1.544e-006		
-4.643e-001	1.927e-006		
-4.604e-001	1.347e-006		
-4.563e-001	2.075e-006		
-4.524e-001	1.646e-006		
-4.483e-001	1.840e-006		
-4.444e-001	2.282e-006		
-4.403e-001	1.727e-006		
-4.363e-001	2.500e-006		
-4.324e-001	2.086e-006		
-4.284e-001	2.302e-006		
-4.244e-001	2.753e-006		
-4.204e-001	2.214e-006		
-4.164e-001	2.986e-006		
-4.124e-001	2.589e-006		
-4.084e-001	2.809e-006		
-4.044e-001	3.257e-006		
-4.004e-001	2.716e-006		
-3.964e-001	3.498e-006		
-3.924e-001	3.083e-006		
-3.884e-001	3.295e-006		
-3.844e-001	3.750e-006		
-3.805e-001	3.234e-006		
-3.764e-001	4.013e-006		
-3.724e-001	3.599e-006		
-3.684e-001	3.833e-006		
-3.645e-001	4.283e-006		
-3.604e-001	3.751e-006		
-3.565e-001	4.531e-006		
-3.525e-001	4.108e-006		
-3.485e-001	4.339e-006		
-3.444e-001	4.756e-006		
-3.405e-001	4.235e-006		
-3.364e-001	5.003e-006		
-3.325e-001	4.566e-006		
-3.285e-001	4.790e-006		
-3.245e-001	5.197e-006		
-3.205e-001	4.660e-006		
-3.166e-001	5.434e-006		
-3.125e-001	5.016e-006		
-3.085e-001	5.260e-006		
-3.045e-001	5.681e-006		
-3.005e-001	5.174e-006		
-2.965e-001	5.957e-006		
-2.926e-001	5.541e-006		
-2.885e-001	5.791e-006		
-2.846e-001	6.232e-006		
-2.805e-001	5.744e-006		
-2.766e-001	6.542e-006		
-2.725e-001	6.136e-006		
-2.686e-001	6.432e-006		
-2.645e-001	6.891e-006		
-2.606e-001	6.426e-006		
-2.565e-001	7.256e-006		
-2.526e-001	6.885e-006		
-2.485e-001	7.214e-006		
-2.446e-001	7.706e-006		
-2.405e-001	7.279e-006		
-2.366e-001	8.156e-006		
-2.325e-001	7.833e-006		
-2.287e-001	8.215e-006		
-2.246e-001	8.758e-006		
-2.206e-001	8.395e-006		
-2.165e-001	9.347e-006		
-2.127e-001	9.088e-006		
-2.086e-001	9.538e-006		
-2.047e-001	1.016e-005		
-2.006e-001	9.885e-006		
-1.967e-001	1.091e-005		
-1.927e-001	1.074e-005		
-1.887e-001	1.130e-005		
-1.846e-001	1.202e-005		
-1.807e-001	1.185e-005		
-1.767e-001	1.299e-005		
-1.728e-001	1.297e-005		
-1.687e-001	1.368e-005		
-1.648e-001	1.455e-005		
-1.607e-001	1.453e-005		
-1.568e-001	1.586e-005		
-1.528e-001	1.600e-005		
-1.488e-001	1.691e-005		
-1.448e-001	1.797e-005		
-1.408e-001	1.820e-005		
-1.368e-001	1.977e-005		
-1.329e-001	2.016e-005		
-1.289e-001	2.134e-005		
-1.249e-001	2.269e-005		
-1.209e-001	2.321e-005		
-1.170e-001	2.511e-005		
-1.130e-001	2.585e-005		
-1.087e-001	2.758e-005		
-1.046e-001	2.930e-005		
-1.008e-001	3.024e-005		
-9.671e-002	3.257e-005		
-9.277e-002	3.378e-005		
-8.863e-002	3.583e-005		
-8.478e-002	3.815e-005		
-8.066e-002	3.969e-005		
-7.677e-002	4.260e-005		
-7.274e-002	4.443e-005		
-6.879e-002	4.713e-005		
-6.478e-002	5.002e-005		
-6.083e-002	5.219e-005		
-5.672e-002	5.575e-005		
-5.281e-002	5.824e-005		
-4.882e-002	6.157e-005		
-4.484e-002	6.508e-005		
-4.084e-002	6.772e-005		
-3.691e-002	7.179e-005		
-3.280e-002	7.476e-005		
-2.886e-002	7.851e-005		
-2.490e-002	8.228e-005		
-2.091e-002	8.516e-005		
-1.689e-002	8.926e-005		
-1.289e-002	9.206e-005		
-8.860e-003	9.544e-005		
-4.932e-003	9.864e-005		
-8.890e-004	1.009e-004		
3.058e-003	1.040e-004		
7.065e-003	1.056e-004		
1.106e-002	1.076e-004		
1.514e-002	1.091e-004		
1.904e-002	1.094e-004		
2.306e-002	1.106e-004		
2.703e-002	1.100e-004		
3.104e-002	1.099e-004		
3.504e-002	1.094e-004		
3.912e-002	1.076e-004		
4.300e-002	1.068e-004		
4.703e-002	1.046e-004		
5.103e-002	1.030e-004		
5.503e-002	1.013e-004		
5.903e-002	9.859e-005		
6.303e-002	9.716e-005		
6.700e-002	9.451e-005		
7.103e-002	9.275e-005		
7.503e-002	9.106e-005		
7.901e-002	8.841e-005		
8.301e-002	8.710e-005		
8.701e-002	8.485e-005		
9.098e-002	8.327e-005		
9.502e-002	8.173e-005		
9.901e-002	7.955e-005		
1.030e-001	7.908e-005		
1.070e-001	7.660e-005		
1.110e-001	7.515e-005		
1.150e-001	7.396e-005		
1.190e-001	7.211e-005		
1.230e-001	7.135e-005		
1.270e-001	6.932e-005		
1.310e-001	6.824e-005		
1.350e-001	6.718e-005		
1.390e-001	6.553e-005		
1.430e-001	6.505e-005		
1.470e-001	6.340e-005		
1.510e-001	6.269e-005		
1.550e-001	6.206e-005		
1.590e-001	6.057e-005		
1.630e-001	6.016e-005		
1.670e-001	5.862e-005		
1.710e-001	5.805e-005		
1.750e-001	5.738e-005		
1.790e-001	5.607e-005		
1.830e-001	5.594e-005		
1.870e-001	5.458e-005		
1.910e-001	5.414e-005		
1.950e-001	5.360e-005		
1.990e-001	5.241e-005		
2.030e-001	5.243e-005		
2.069e-001	5.125e-005		
2.110e-001	5.089e-005		
2.150e-001	5.047e-005		
2.189e-001	4.939e-005		
2.229e-001	4.951e-005		
2.269e-001	4.838e-005		
2.309e-001	4.813e-005		
2.349e-001	4.784e-005		
2.389e-001	4.680e-005		
2.429e-001	4.698e-005		
2.469e-001	4.626e-005		
2.509e-001	4.610e-005		
2.549e-001	4.570e-005		
2.589e-001	4.461e-005		
2.629e-001	4.481e-005		
2.669e-001	4.369e-005		
2.709e-001	4.356e-005		
2.749e-001	4.337e-005		
2.789e-001	4.249e-005		
2.829e-001	4.274e-005		
2.869e-001	4.168e-005		
2.909e-001	4.154e-005		
2.949e-001	4.131e-005		
2.989e-001	4.043e-005		
3.029e-001	4.085e-005		
3.069e-001	4.003e-005		
3.109e-001	3.982e-005		
3.149e-001	3.961e-005		
3.189e-001	3.873e-005		
3.229e-001	3.903e-005		
3.269e-001	3.809e-005		
3.309e-001	3.803e-005		
3.349e-001	3.783e-005		
3.389e-001	3.701e-005		
3.429e-001	3.734e-005		
3.469e-001	3.642e-005		
3.509e-001	3.641e-005		
3.549e-001	3.624e-005		
3.588e-001	3.547e-005		
